"country","footprintPerCap","biocapPerCap","biocapDeficitPerCap","totalBiocap","pop2022"
"Luxembourg","15.8200","1.6800","-14.1400","-7.3500","642.3710"
"Aruba","11.8800","0.5700","-11.3100","-1.1300","107.6090"
"Qatar","10.8000","1.2400","-9.5600","-19.6000","2979.9150"
"Australia","9.3100","16.5700","7.2600","167.3400","26068.7920"
"United States","8.2200","3.7600","-4.4600","-1416.0500","334805.2690"
"Canada","8.1700","16.0100","7.8300","272.8000","38388.4190"
"Kuwait","8.1300","0.5500","-7.5800","-24.6400","4380.3260"
"Singapore","7.9700","0.0500","-7.9200","-41.9800","5943.5460"
"United Kingdom","7.9300","0.5600","-7.3700","-483.8300","68497.9070"
"Trinidad and Tobago","7.9200","1.5600","-6.3600","-8.5200","1406.5850"
"Montserrat","7.7800","1.3600","-6.4200","-0.0300","4.9650"
"Oman","7.5200","1.9200","-5.6000","-18.5400","5323.9930"
"Bahrain","7.4900","0.5800","-6.9100","-9.1200","1783.9830"
"Belgium","7.4400","1.1900","-6.2500","-69.1300","11668.2780"
"Sweden","7.2500","10.6200","3.3800","32.1400","10218.9710"
"Estonia","6.8600","10.5300","3.6700","4.7300","1321.9100"
"Bahamas","6.8400","9.5500","2.7100","1","400.5160"
"Latvia","6.2900","9.5500","3.2600","6.7200","1848.8370"
"Israel","6.2200","0.3500","-5.8700","-44.8500","8922.8920"
"Mongolia","6.0800","15.6600","9.5800","26.8200","3378.0780"
"Austria","6.0600","3.0700","-3","-25.3800","9066.7100"
"Taiwan","5.9300","1","-4.1300","1","23888.5950"
"Finland","5.8700","13.4400","7.5700","40.9500","5554.9600"
"Lithuania","5.8300","5.6700","-0.1700","-0.5200","2661.7080"
"Slovenia","5.8100","2.3500","-3.4700","-7.1800","2078.0340"
"Switzerland","5.7900","1.3000","-4.4800","-35.8400","8773.6370"
"Bermuda","5.7700","0.1300","-5.6400","-0.3400","61.9390"
"South Korea","5.6900","0.6800","-5.0100","-245.4900","51329.8990"
"Russia","5.6900","6.7900","1.1000","157.4900","145805.9470"
"Cayman Islands","5.6500","0.3200","-5.3300","-0.3200","67.2770"
"Saudi Arabia","5.6100","0.5000","-5.1200","-144.8400","35844.9090"
"New Zealand","5.6000","10.1400","4.5400","20.2500","4898.2030"
"Ireland","5.5700","3.7300","-1.8300","-8.3800","5020.1990"
"Kazakhstan","5.5500","3.4100","-2.1400","-34.8200","19205.0430"
"Denmark","5.5100","4.7800","-0.7300","-4.0900","5834.9500"
"Turkmenistan","5.4700","2.7900","-2.6800","-13.8600","6201.9430"
"Antigua and Barbuda","5.3800","0.9400","-4.4400","-0.4000","99.5090"
"Germany","5.3000","2.2700","-3.0200","-250.0600","83883.5960"
"Netherlands","5.2800","1.1700","-4.1100","-68.6800","17211.4470"
"Czech Republic","5.1900","2.4600","-2.7300","-29.1000","10736.7840"
"France","5.1400","3.1100","-2.0400","-130.5200","65584.5180"
"Belarus","5.0900","3.6400","-1.4500","-13.6300","9432.8000"
"Japan","5.0200","0.7200","-4.3000","-547.1800","125584.8380"
"Norway","4.9800","8.1800","3.1900","15.9200","5511.3700"
"Saint Kitts and Nevis","4.9400","0.6200","-4.3100","-0.2200","53.8710"
"United Arab Emirates","4.9400","1.3200","-3.6200","-22.8200","10081.7850"
"Bhutan","4.8400","5.2700","0.4300","0.3200","787.9410"
"French Polynesia","4.7300","1.3700","-3.3600","-0.9100","284.1640"
"Italy","4.6100","1.0800","-3.5300","-215.0500","60262.7700"
"Barbados","4.4800","0.1900","-4.2900","-1.2000","288.0230"
"Poland","4.4400","2.0800","-2.3600","-90.1800","37739.7850"
"Greece","4.3800","1.6100","-2.7700","-30.8000","10316.6370"
"Chile","4.3600","3.6300","-0.7300","-12.7500","19250.1950"
"Suriname","4.2500","89.3300","85.0800","45.9400","596.8310"
"Cyprus","4.2100","0.3400","-3.8700","-4.3700","1223.3870"
"Paraguay","4.1600","10.5200","6.3600","42.5500","7305.8430"
"Brunei","4.0600","2.8700","-1.1900","-0.4900","445.4310"
"Slovakia","4.0600","2.7100","-1.3500","-7.3600","5460.1930"
"Equatorial Guinea","3.9700","4.4000","0.4400","0.3300","1496.6620"
"Croatia","3.9200","2.8000","-1.1200","-4.8300","4059.2860"
"Portugal","3.8800","1.5100","-2.3700","-25.1200","10140.5700"
"Lebanon","3.8400","0.3300","-3.5100","-16.3200","6684.8490"
"Botswana","3.8300","3.4700","-0.3500","-0.7000","2441.1620"
"Montenegro","3.7800","3.2400","-0.5400","-0.3300","627.9500"
"Malaysia","3.7100","2.4100","-1.3000","-38.0100","33181.0720"
"Libya","3.6900","0.7000","-3","-18.4800","7040.7450"
"Spain","3.6700","1.2500","-2.4200","-113.1600","46719.1420"
"Reunion","3.6500","0.1800","-3.4700","-2.9800","908.0610"
"New Caledonia","3.5800","7.6700","4.0900","1.0200","290.9150"
"Venezuela","3.5700","2.7800","-0.7900","-23.6700","29266.9910"
"Mauritius","3.4600","0.7100","-2.7500","-3.4100","1274.7270"
"China","3.3800","0.9400","-2.4400","-3435.6200","1448471.4000"
"Turkey","3.3300","1.5200","-1.8100","-133.9400","85561.9760"
"Bulgaria","3.3200","2.8600","-0.4600","-3.3500","6844.5970"
"South Africa","3.3100","1.1500","-2.1600","-113.1600","60756.1350"
"Guadeloupe","3.2300","0.4500","-2.7700","-1.2700","399.7940"
"Argentina","3.1400","6.9200","3.7800","155.3200","46010.2340"
"Bosnia and Herzegovina","3.1200","1.6300","-1.4900","-5.7100","3249.3170"
"Saint Vincent and the Grenadines","3.1100","1.2600","-1.8500","-0.2000","111.5510"
"Brazil","3.1100","9.0800","5.9700","1186","215353.5930"
"Guyana","3.0700","66.5800","63.5100","50.8100","794.0450"
"Grenada","2.9800","1.9600","-1.0100","-0.1000","113.4750"
"Bolivia","2.9600","16.7300","13.7700","144.5900","11992.6560"
"Nauru","2.9400","0.1900","-2.7600","-0.0300","10.9030"
"Hungary","2.9200","2.1700","-0.7500","-7.4900","9606.2590"
"Uruguay","2.9100","10.3200","7.4100","25.1900","3496.0160"
"Fiji","2.9000","2.3700","-0.5200","-0.4600","909.4660"
"Mexico","2.8900","1.2700","-1.6200","-195.7800","131562.7720"
"British Virgin Islands","2.8600","2.0500","-0.8100","-0.0200","30.5960"
"Costa Rica","2.8400","1.5300","-1.3100","-6.2900","5182.3540"
"Ukraine","2.8400","2.2700","-0.5800","-26.4100","43192.1220"
"Panama","2.7900","2.9400","0.1500","0.5700","4446.9640"
"Iran","2.7900","0.9000","-1.8900","-144.4300","86022.8370"
"Samoa","2.7700","1.9300","-0.8500","-0.1600","202.2390"
"Romania","2.7100","2.3200","-0.3900","-8.4900","19031.3350"
"Tonga","2.7000","1.4800","-1.2200","-0.1200","107.7490"
"Serbia","2.7000","1.2500","-1.4400","-13.7500","8653.0160"
"Thailand","2.6600","1.2400","-1.4200","-94.8300","70078.2030"
"Dominica","2.5700","1.0300","-1.5400","-0.1100","72.3440"
"Mauritania","2.5400","4.4800","1.9300","7.3300","4901.9810"
"Cape Verde","2.5200","0.6200","-1.9000","-0.9300","567.6780"
"Namibia","2.4800","6.8800","4.4000","9.9400","2633.8740"
"Saint Lucia","2.4500","0.3400","-2.1000","-0.3800","185.1130"
"French Guiana","2.3400","111.3500","109.0100","26.1600","314.1690"
"Tunisia","2.3400","0.9300","-1.4000","-15.2300","12046.6560"
"Uzbekistan","2.3200","0.9200","-1.4000","-39.9600","34382.0840"
"Azerbaijan","2.3100","0.8500","-1.4600","-13.5900","10300.2050"
"Peru","2.2800","3.9700","1.6900","50.6800","33684.2080"
"Armenia","2.2300","0.8900","-1.3500","-4.0100","2971.9660"
"Albania","2.2100","1.1800","-1.0300","-3.2500","2866.3740"
"Djibouti","2.1900","0.7700","-1.4200","-1.2200","1016.0970"
"Ecuador","2.1700","2.2000","0.0300","0.4600","18113.3610"
"Egypt","2.1500","0.5600","-1.5900","-128.3400","106156.6920"
"Algeria","2.1200","0.5900","-1.5300","-58.8700","45350.1480"
"Jordan","2.1000","0.2100","-1.8900","-13.2500","10300.8690"
"Martinique","2.0800","0.3900","-1.7000","-0.6800","374.0870"
"Wallis and Futuna","2.0700","1.5100","-0.5600","-0.0100","10.9820"
"El Salvador","2.0700","0.6100","-1.4600","-9.2000","6550.3890"
"Gabon","2.0200","26.3100","24.2900","39.5900","2331.5330"
"Eswatini","2.0100","0.8800","-1.1400","-1.4000","1184.8170"
"Ghana","1.9700","1.3500","-0.6200","-15.7300","32395.4500"
"Cuba","1.9500","0.7600","-1.1900","-13.4100","11305.6520"
"Kyrgyzstan","1.9100","1.3000","-0.6100","-3.3400","6728.2710"
"Papua New Guinea","1.9100","3.9200","2.0100","14.4100","9292.1690"
"Jamaica","1.8900","0.4300","-1.4600","-4.0400","2985.0940"
"Guatemala","1.8900","0.9900","-0.9000","-13.5700","18584.0390"
"Iraq","1.8800","0.2900","-1.5900","-52.1200","42164.9650"
"Colombia","1.8700","3.6000","1.7200","82.0400","51512.7620"
"Moldova","1.7800","0.8000","-0.9800","-3.4400","4013.1710"
"Honduras","1.6800","1.7700","0.0900","0.7100","10221.2470"
"Morocco","1.6800","0.7100","-0.9600","-31.2200","37772.7560"
"Lesotho","1.6600","0.7800","-0.8700","-1.7800","2175.6990"
"Vietnam","1.6500","1","-0.6500","-59.0200","98953.5410"
"Georgia","1.5800","1.1700","-0.4100","-1.7900","3968.7380"
"Indonesia","1.5800","1.2600","-0.3200","-79","279134.5050"
"Niger","1.5600","1.2400","-0.3200","-5.4900","26083.6600"
"Guinea-Bissau","1.5300","3.0300","1.4900","2.4700","2063.3670"
"Dominican Republic","1.5300","0.5600","-0.9700","-9.9700","11056.3700"
"Mali","1.5300","1.5800","0.0500","0.7400","21473.7640"
"Syria","1.5100","0.6000","-0.9100","-19.9200","19364.8090"
"Sao Tome and Principe","1.4900","0.8700","-0.6100","-0.1200","227.6790"
"Chad","1.4600","2.0300","0.5700","7.1000","17413.5800"
"Myanmar","1.4300","1.8400","0.4100","21.6500","55227.1430"
"Benin","1.4100","0.8800","-0.5300","-5.3300","12784.7260"
"Guinea","1.4100","2.0900","0.6800","7.7900","13865.6910"
"Nicaragua","1.3900","2.2500","0.8700","5.2100","6779.1000"
"Zimbabwe","1.3700","0.6200","-0.7500","-10.2900","15331.4280"
"Sri Lanka","1.3200","0.4400","-0.8800","-18.5700","21575.8420"
"Tanzania","1.3200","1.0800","-0.2400","-11.4700","63298.5500"
"Solomon Islands","1.2900","4.3600","3.0800","1.6900","721.1590"
"Republic of the Congo","1.2900","10.9100","9.6300","41.9700","5797.8050"
"Ivory Coast","1.2700","1.7800","0.5100","10.1200","27742.2980"
"Central African Republic","1.2400","7.8700","6.6200","29.9900","5016.6780"
"Sierra Leone","1.2400","1.2400","0","0","8306.4360"
"Somalia","1.2400","1.2700","0.0300","0.3100","16841.7950"
"Uganda","1.2400","0.5900","-0.6600","-23.9900","48432.8630"
"Laos","1.2200","1.6200","0.4000","2.6600","7481.0230"
"Liberia","1.2100","2.5700","1.3500","5.6600","5305.1170"
"Cambodia","1.2100","1.0900","-0.1100","-1.6300","17168.6390"
"Senegal","1.2100","1.0500","-0.1600","-2.2000","17653.6710"
"Burkina Faso","1.2100","0.9800","-0.2200","-3.6200","22102.8380"
"North Korea","1.1700","0.6000","-0.5700","-14.1100","25990.6790"
"Cameroon","1.1700","1.6900","0.5200","11.2800","27911.5480"
"Nigeria","1.1600","0.7000","-0.4700","-79.3500","216746.9340"
"India","1.1600","0.4500","-0.7100","-878.0500","1406631.7760"
"Togo","1.1300","0.5300","-0.6000","-3.9800","8680.8370"
"Philippines","1.1000","0.5400","-0.5600","-54.1600","112508.9940"
"Comoros","1.0300","0.3200","-0.7000","-0.5000","907.4190"
"Gambia","1.0300","0.8200","-0.2100","-0.3800","2558.4820"
"Yemen","1.0300","0.5000","-0.5300","-12.6400","31154.8670"
"Kenya","1.0300","0.5100","-0.5200","-22.4500","56215.2210"
"Ethiopia","1.0200","0.5800","-0.4400","-40.3600","120812.6980"
"Zambia","0.9900","2.2300","1.2400","17.4600","19470.2340"
"Madagascar","0.9900","2.6300","1.6400","36.5600","29178.0770"
"Nepal","0.9800","0.5900","-0.3800","-10.4400","30225.5820"
"Angola","0.9300","2.5500","1.6100","35.5200","35027.3430"
"Tajikistan","0.9100","0.5300","-0.3800","-3.0400","9957.4640"
"Rwanda","0.8700","0.5400","-0.3200","-3.6700","13600.4640"
"Mozambique","0.8700","2.0600","1.1900","29.9900","33089.4610"
"Malawi","0.8100","0.6600","-0.1500","-2.3900","20180.8390"
"Burundi","0.8000","0.3200","-0.4800","-4.7300","12624.8400"
"Afghanistan","0.7900","0.5000","-0.3000","-8.9500","40754.3880"
"Pakistan","0.7900","0.3500","-0.4400","-78.8300","229488.9940"
"Bangladesh","0.7200","0.3800","-0.3500","-54.1500","167885.6890"
"Haiti","0.6100","0.2700","-0.3400","-3.4600","11680.2830"
"Eritrea","0.4900","1.3000","0.8800","5.3900","3662.2440"
"Timor-Leste","0.4800","1.7800","1.3000","1.4400","1369.4290"